time,industry,city,total
2016-04-01,藝術、娛樂及休閒服務業,金門縣,15985
2016-04-01,藝術、娛樂及休閒服務業,南投縣,439247
2016-04-01,藝術、娛樂及休閒服務業,屏東縣,359461
2016-04-01,藝術、娛樂及休閒服務業,苗栗縣,195953
2016-04-01,藝術、娛樂及休閒服務業,桃園市,867829
2016-04-01,藝術、娛樂及休閒服務業,高雄市,1101881
2016-04-01,藝術、娛樂及休閒服務業,基隆市,130346
2016-04-01,藝術、娛樂及休閒服務業,連江縣,6160
2016-04-01,藝術、娛樂及休閒服務業,雲林縣,228461
2016-04-01,藝術、娛樂及休閒服務業,新北市,1546607
2016-04-01,藝術、娛樂及休閒服務業,新竹市,233400
2016-04-01,藝術、娛樂及休閒服務業,新竹縣,374130
2016-04-01,藝術、娛樂及休閒服務業,嘉義市,135126
2016-04-01,藝術、娛樂及休閒服務業,嘉義縣,146512
2016-04-01,藝術、娛樂及休閒服務業,彰化縣,215422
2016-04-01,藝術、娛樂及休閒服務業,臺中市,1145955
2016-04-01,藝術、娛樂及休閒服務業,臺北市,5291484
2016-04-01,藝術、娛樂及休閒服務業,臺東縣,58295
2016-04-01,藝術、娛樂及休閒服務業,臺南市,701634
2016-04-01,藝術、娛樂及休閒服務業,澎湖縣,23520
2016-06-01,不動產業,宜蘭縣,1116665
2016-06-01,不動產業,花蓮縣,636257
2016-06-01,不動產業,金門縣,522015
2016-06-01,不動產業,南投縣,385132
2016-06-01,不動產業,屏東縣,742571
2016-06-01,不動產業,苗栗縣,1030126
2016-06-01,不動產業,桃園市,11084484
2016-06-01,不動產業,高雄市,14688877
2016-06-01,不動產業,基隆市,882524
2016-06-01,不動產業,連江縣,0
2016-06-01,不動產業,雲林縣,823040
2016-06-01,不動產業,新北市,28513271
2016-06-01,不動產業,新竹市,3024234
2016-06-01,不動產業,新竹縣,4248278
2016-06-01,不動產業,嘉義市,649995
2016-06-01,不動產業,嘉義縣,190951
2016-06-01,不動產業,彰化縣,2441786
2016-06-01,不動產業,臺中市,24175326
2016-06-01,不動產業,臺北市,68436078
2016-06-01,不動產業,臺東縣,360466
2016-06-01,不動產業,臺南市,6159819
2016-06-01,不動產業,澎湖縣,126401
2016-06-01,住宿及餐飲業,宜蘭縣,2023310
2016-06-01,住宿及餐飲業,花蓮縣,1880579
2016-06-01,住宿及餐飲業,金門縣,284828
2016-06-01,住宿及餐飲業,南投縣,1900433
2016-06-01,住宿及餐飲業,屏東縣,2729233
2016-06-01,住宿及餐飲業,苗栗縣,1178210
2016-06-01,住宿及餐飲業,桃園市,8700928
2016-06-01,住宿及餐飲業,高雄市,10552943
2016-06-01,住宿及餐飲業,基隆市,951877
2016-06-01,住宿及餐飲業,連江縣,46511
